TURN,UTTERANCE,DA,EMOTION
Ses01F_impro01_F000,Excuse me.,c,neu
Ses01F_impro01_M000,Do you have your forms?,q,fru
Ses01F_impro01_F001,Yeah.,ans,neu
Ses01F_impro01_M001,Let me see them.,s,fru
Ses01F_impro01_F002,Is there a problem?,q,neu
Ses01F_impro01_M002,Who told you to get in this line?,q,fru
Ses01F_impro01_F003,You did.,ans,xxx
Ses01F_impro01_F004,You were standing at the beginning and you directed me.,s,xxx
Ses01F_impro01_M003,Okay. But I didn't tell you to get in this line if you are filling out this particular form.,s,fru
Ses01F_impro01_F005,Well what's the problem?  Let me change it.,q,neu
Ses01F_impro01_M004,This form is a Z.X.four.,s,fru
Ses01F_impro01_M005,"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",ans,fru
Ses01F_impro01_F006,What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,s,fru
Ses01F_impro01_M006,No. I need another set of ID to prove this is actually you.,s,fru
Ses01F_impro01_F007,How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,q,fru
Ses01F_impro01_M007,I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,ans,fru
Ses01F_impro01_F008,I'm here to get an ID.,s,fru
Ses01F_impro01_M008,"No.  I need another ID, a separate one.",s,fru
Ses01F_impro01_F009,Like what?  Like a birth certificate?,q,fru
Ses01F_impro01_M009,"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?",s,fru
Ses01F_impro01_F010,Who the hell has a birth certificate?,q,xxx
Ses01F_impro01_F011,"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?",q,fru
Ses01F_impro01_M010,"Yeah.  We keep it on file, but we need an ID to access that file.",ans,fru
Ses01F_impro01_F012,That's out of control.,o,ang
Ses01F_impro01_M011,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,o,ang
Ses01F_impro01_F013,How long have you been working here?,q,fru
Ses01F_impro01_M012,Actually too long.,ans,xxx
Ses01F_impro01_F014,"Clearly.  You know, do you have like a supervisor or something?",q,neu
Ses01F_impro01_M013,Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,s,ang
Ses01F_impro01_F015,That would - I would appreciate that.  Yeah.,a,fru
Ses01F_impro02_F000,Did you get the mail? So you saw my letter?,q,sad
Ses01F_impro02_M000,It's not fair.,o,xxx
Ses01F_impro02_F001,Yeah.  I know.,ag,sad
Ses01F_impro02_M001,"I don't understand.  You've already done so much, I don't know why do you have to go back.",o,sad
Ses01F_impro02_F002,I don't know.  I put in that. request too. They didn't...,s,sad
Ses01F_impro02_F003,"I guess, you know, everybody has to make sacrifices.",o,neu
Ses01F_impro02_M002,"I don't know, it's just not fair.  I think you've already made your sacrifice.",o,xxx
Ses01F_impro02_F004,"There's people that have given more though, you know?",s,sad
Ses01F_impro02_M003,I just don't see how they can make you leave when you have a new baby - we have a new kid.,o,fru
Ses01F_impro02_F005,I know.,ag,sad
Ses01F_impro02_M004,Then why is that fair?  Why--,q,xxx
Ses01F_impro02_F006,"There's babies over there, though, that need mothers.",ans,neu
Ses01F_impro02_M005,I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,q,sad
Ses01F_impro02_F007,"I'm not okay with it, but I don't-- it's not like I have a choice.  I don't see what crying about it is going to fix.",ans,xxx
Ses01F_impro02_M006,I'm just trying to think of another way.  I'm just trying to...,s,xxx
Ses01F_impro02_F008,"Just, you know, kicking myself.",s,sad
Ses01F_impro02_F009,like you sign up because you need money and,s,xxx
Ses01F_impro02_F010,things just aren't what they seem.,s,sad
Ses01F_impro02_M007,This is a stupid war.,o,xxx
Ses01F_impro02_F011,"We're doing the right thing, though.",o,xxx
Ses01F_impro02_M008,I know.,ag,fru
Ses01F_impro02_M009,I just don't see why it has to be you.,o,sad
Ses01F_impro02_F012,"If not me then, who?",q,sad
Ses01F_impro02_M010,What am I going to do? Huh?,q,sad
Ses01F_impro02_F013,"You'll videotape everything, yeah?",ans,sad
Ses01F_impro02_M011,Yeah.,ag,sad
Ses01F_impro02_F014,"Maybe you can send it to me, like stream it, yeah?",o,sad
Ses01F_impro02_M012,Don't you guys have access to computers over there.,q,neu
Ses01F_impro02_F015,Last month--  Yeah.,ans,sad
Ses01F_impro02_M013,I just don't know how I'm going to do it without you.,o,sad
Ses01F_impro02_F016,I have to find sitters.,s,neu
Ses01F_impro02_M014,I can't raise a baby by myself.  How?,q,sad
Ses01F_impro02_F017,"We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",ans,sad
Ses01F_impro02_M015,I know.,ag,neu
Ses01F_impro02_F018,And your mother is close by.,s,neu
Ses01F_impro02_F019,I'll send you lots of letters.,s,sad
Ses01F_impro02_F020,And I want lots and lots and lots of pictures.,c,sad
Ses01F_impro02_M016,It's just not fair.,o,fru
Ses01F_impro03_M000,So what's up?  What's new?,q,neu
Ses01F_impro03_F000,Well Vegas was awesome.,ans,hap
Ses01F_impro03_M001,Yeah.  I heard.,ag,neu
Ses01F_impro03_F001,"And, um, I got married.",s,hap
Ses01F_impro03_M002,Shut up.  No- in Vegas?,q,sur
Ses01F_impro03_F002,Yeah.  In the old town part.,ans,hap
Ses01F_impro03_M003,Who did you marry?,q,exc
Ses01F_impro03_F003,Chuck. [LAUGHTER],oth,xxx
Ses01F_impro03_M004,Did you propose to you?,q,xxx
Ses01F_impro03_F004,Um- Yes.  It was very romantic.,ans,hap
Ses01F_impro03_F005,It was at the slot machines.,s,hap
Ses01F_impro03_M005,Oh.  The Wheel of Fortune slots?,q,xxx
Ses01F_impro03_F006,"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",s,hap
Ses01F_impro03_M006,He turned to you and was like...,s,neu
Ses01F_impro03_F007,Hey.  Let's get married and I said okay.,s,xxx
Ses01F_impro03_M007,[LAUGHTER] That's really romantic.,o,hap
Ses01F_impro03_F008,"Yeah.  Well.  You know, because he's leaving the next day.",ag,hap
Ses01F_impro03_M008,Yeah.,ag,neu
Ses01F_impro03_F009,But we're going to have a honeymoon cruise.,s,hap
Ses01F_impro03_M009,"Does that mean that you're going to get citizenship, too, in- in England or whatever?",q,neu
Ses01F_impro03_F010,Oh.  I hadn't even thought about that.,ans,hap
Ses01F_impro03_M010,Yeah.  Think about that.,c,xxx
Ses01F_impro03_F011,"He's not going to be a citizen, though.",s,xxx
Ses01F_impro03_M011,Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?,q,neu
Ses01F_impro03_F012,Oh.  Totally.,ag,hap
Ses01F_impro03_M012,"Oh, how are you going to do the long distance thing?  So wait, are you going to move there?",q,xxx
Ses01F_impro03_F013,I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],ans,hap
Ses01F_impro03_M013,Like you need another one of those.[LAUGHTER],o,hap
Ses01F_impro03_F014,I have an internet boyfriend.  I guess I'll have to juggle the two.  Is that cheating?  I don't know. Hmm.,o,xxx
Ses01F_impro03_M014,Is that your phone?,q,hap
Ses01F_impro03_F015,"Yeah, so [LAUGHTER] He's calling me now",ans,exc
Ses01F_impro03_M015,He loves you.,s,hap
Ses01F_impro03_F016,"He likes to keep tabs, you know.",s,hap
Ses01F_impro03_M016,How much did he win at the slot?,q,neu
Ses01F_impro03_F017,"Uh, I think seven hundred and fifty dollars.",ans,neu
Ses01F_impro03_M017,Really? Penny slots?,q,sur
Ses01F_impro03_F018,Penny slots. That's what he plays.,ans,neu
Ses01F_impro03_M018,Wow.,a,sur
Ses01F_impro03_F019,Yeah.,ag,neu
Ses01F_impro03_M019,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.,s,neu
Ses01F_impro03_F020,Oh.,b,xxx
Ses01F_impro03_F021,Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-,s,hap
Ses01F_impro03_M020,"But the pennies always get you because you end up spending like, you know, fifty bucks.",o,neu
Ses01F_impro03_F022,Fifty bucks. Mmhmm.,b,neu
