TURN,UTTERANCE,DA,EMOTION
Ses02F_impro01_M000,Hi.,g,neu
Ses02F_impro01_M001,"Okay.  Let me see here.  Um, we need--we need your original birth certificate.",s,neu
Ses02F_impro01_F001,My--my original birth certificate?  But I don't carry that with me.,s,sur
Ses02F_impro01_M002,Right.  Well.  We still need it.,s,neu
Ses02F_impro01_F002,"Well, I have my driver's license, does that work?",q,xxx
Ses02F_impro01_M003,"No. no  Uh, no one told you that you needed your original birth certificate.",q,xxx
Ses02F_impro01_F003,No it doesn't say it on the form.,ans,fru
Ses02F_impro01_F004,"I mean it just says that you need some form of identification, but it doesn't say what kind of identification.",s,fru
Ses02F_impro01_F005,I mean if I had known--I would have brought it.,o,fru
Ses02F_impro01_M004,um Sorry.,ap,neu
Ses02F_impro01_M005,"Okay.  Um, I'm sorry but I--I can't help you.  You're gonna have to go back and uh...",ap,fru
Ses02F_impro01_F006,"Look, I've been waiting in line for a really long time.  I mean, you've seen how long it is.",s,fru
Ses02F_impro01_F007,It's lunch hour.,s,fru
Ses02F_impro01_M006,Right.  It's the D.M.V..,ag,fru
Ses02F_impro01_M007,"I know, it gets long, but I can't do anything without your--do you have Social Security card, maybe?",q,fru
Ses02F_impro01_F008,"Well, no.  I mean, I don't carry my original documents with me because if those things get destroyed, then what do you, you know what I mean, like if I loose my wallet or something, I'll never have them again.",ans,fru
Ses02F_impro01_F009,I have my passport and I have my driver's license. And that's all I have.,s,fru
Ses02F_impro01_M008,"Alright, I don't know what to tell you right.",o,fru
Ses02F_impro01_M009,"I think you're just gonna--you're gonna have to get 'em and then you can back and then, we'll help you out.  Maybe, we can-",s,fru
Ses02F_impro01_F010,"But, isn't there anything you can do.  Can't you make an exception this one time?  My picture is on both of those identifications.  It's not like you don't know that it's me.",q,fru
Ses02F_impro01_M010,I can't.,ans,fru
Ses02F_impro01_F011,And I can give you my social--,s,fru
Ses02F_impro01_M011,"I make an exception for you and I have to make an exception for everyone.  I mean, I-I've seen this before and I know it's frustrating, but there's nothing I can do. You just have to-",o,fru
Ses02F_impro01_F012,"Well, I can give you my Social Security Number.",s,fru
Ses02F_impro01_M012,"No, it's--",dag,fru
Ses02F_impro01_F013,And I can tell you where I was born and what time and by who and what day.,s,fru
Ses02F_impro01_M013,"Okay.  But how do I--that's- that's not proof to me.  How do I know that, you know, that it's really you.  I need--",q,fru
Ses02F_impro01_F014,I can't go--I have to go back to work.  I don't have time to go back to my house and get all of that stuff and then get back in line and wait for another forty five minutes.,ans,fru
Ses02F_impro01_M014,"Well, the weekends are not as busy.  Maybe you can uh, come and try to get here early--",o,fru
Ses02F_impro01_F015,"Um, I have kids.  I have to take them places on the weekends.  I don't have time to come back here.  Please.  I really need you to help me.",o,fru
Ses02F_impro01_M015,I can't.  There's nothing I can do.  I'm sorry.,ap,fru
Ses02F_impro01_F016,Well.  [BREATHING] I just--I just don't.  I-I'm sorry that I'm standing here-- But I can't leave. I-,ap,fru
